ActivityTypeCode;LocaleCode;Value
Assignment;en;Assignment 
Open Market Letting;en;Open Market Letting 
Open Market Sub-Letting;en;Open Market Sub-Letting 
Pre-Letting;en;Pre-Letting 
Leasehold;en;Leasehold 
Freehold (Vacant Possession);en;Freehold (Vacant Possession) 
Freehold Sale;en;Freehold Sale 
Feuhold Sale;en;Feuhold Sale 
Long Leasehold Sale;en;Long Leasehold Sale 
Lease Regear;en;Lease Regear 
Lease Renewal;en;Lease Renewal 
Rent Review;en;Rent Review 
By Arrangement;en;By Arrangement 
Long Leasehold (Vacant Possession);en;Long Leasehold (Vacant Possession) 
Feuhold (Vacant Possession);en;Feuhold (Vacant Possession) 
Lease Surrender;en;Lease Surrender 
