Code;IsDisplayText;IsEnabled
Detached;1;1
SemiDetached;1;1
Terraced;1;1
NewBuild;1;1
Duplex;1;1
Penthouse;1;1
Garden;1;1
Land;1;1
PatioTerrace;1;1
Conservatory;1;1
Balcony;1;1
CommunalGarden;1;1
CityCentre;1;1
Suburban;1;1
Rural;1;1
Village;1;1
TownCity;1;1
Island;1;1
Coastal;1;1
RiversideLakeside;1;1
Airport;1;1
Motorway;1;1
PurposeBuilt;1;1
Conversion;1;1
NewDevelopment;1;1
Listed;1;1
Secondaryaccomodation;1;1
Outbuildings;1;1
PorterConceirge;1;1
LeisureFacilities;1;1
GolfCourse;1;1
SwimmingPool;1;1
TennisCourt;1;1
Equestrian;1;1
Fishing;1;1
Waterside;1;1
IncomeStream;1;1
HighRise;1;1
ContaminatedLand;1;1
Affordable;1;1
Retirement;1;1
CareHome;1;1
Spa;1;1
ConferenceCentre;1;1
EventVenue;1;1
Restaurant;1;1
Bar;1;1
Lift;1;1
Ownersaccomodation;1;1
Staffaccomodation;1;1
Brasserie;1;1
WetLeisure;1;1
DryLeisure;1;1
SmallLuxuryHotels;1;1
PrivateBanking;1;1
GreenfieldLand;1;1
BrownfieldLand;1;1
MixedUse;1;1
School;1;1
Hostel;1;1
Placeofworship;1;1
Period;1;1
PostWarModern;1;1
New;1;1
Unmodernised;1;1
Fair;1;1
Good;1;1
VeryGood;1;1
Consentgranted;1;1
Subjecttoplanning;1;1
Unconditional;1;1
Strategic;1;1
ConservationArea;1;1
Budget;1;1
Midmarket;1;1
FullService;1;1
ServicedApartments;1;1
FragmentedTimeshare;1;1
Airconditioning;1;1
Comfortcooling;1;1
Centralheating;1;1
Carparkingspaces;1;1
Carparkingratio;1;1
Raisedaccessflooring;1;1
Suspendedceilings;1;1
LG3lighting;1;1
LG7lighting;1;1
Cat2lighting;1;1
Recessedlighting(noncat2);1;1
Perimetertrunking;1;1
Underfloortrunking;1;1
24houraccess;1;1
24hoursecurity;1;1
Airhandling;1;1
Atrium;1;1
Basementstorage;1;1
Broadbandenabled;1;1
Buildingmanagementsystem;1;1
Canopies;1;1
Carpeting;1;1
Ceilingheight;1;1
Ceilingtype;1;1
Cellularoffices;1;1
Cladding;1;1
Constructiontype;1;1
Datebuilt;1;1
Entryphonesystem;1;1
Escalators;1;1
Floorloading;1;1
Glazing;1;1
Goodslift;1;1
GradeIIlisted;1;1
Heating;1;1
Kitchen;1;1
Loadingfacilities;1;1
Offices;1;1
Onsitesecurity;1;1
Passengerlift;1;1
Planninggrid;1;1
Powersupply;1;1
Rooflights;1;1
Serviceyard;1;1
SprinklerSystem;1;1
Threephasepower;1;1
Toilets;1;1

